x,group,value
1,Treatment B,1.9549989446945324
1,Treatment B,2.273740857267516
1,Treatment B,2.145574762291377
1,Treatment B,1.6523602553023864
1,Treatment B,2.261395236873537
1,Treatment B,1.7593920791082027
1,Treatment B,1.9087059571696512
2,Treatment B,2.2867606231837434
2,Treatment B,2.036418537208293
2,Treatment B,2.173067898381001
2,Treatment B,2.4166055675830127
2,Treatment B,2.5495380787295563
2,Treatment B,2.5453506909243218
2,Treatment B,2.5183100705609176
2,Treatment B,2.482642367707097
2,Treatment B,2.335074651876856
2,Treatment B,2.547553697445303
2,Treatment B,2.6382997603247045
2,Treatment B,2.1708461133159616
3,Treatment B,2.727329684718724
3,Treatment B,2.869726718765237
3,Treatment B,2.9374205610152497
3,Treatment B,2.6772974195816435
3,Treatment B,2.3496730110779898
3,Treatment B,2.1616990760845014
3,Treatment B,3.010633318157112
3,Treatment B,2.620951813175172
3,Treatment B,2.4935698358201024
3,Treatment B,2.402714890400032
3,Treatment B,2.4026128265423807
3,Treatment B,2.4788590313845558
4,Treatment B,3.0299006248724454
4,Treatment B,3.0827110422275914
4,Treatment B,2.680337050229469
4,Treatment B,2.834167968246853
4,Treatment B,2.8930764655784533
4,Treatment B,2.6649207495409604
4,Treatment B,2.649349432518869
4,Treatment B,2.8389867844320724
4,Treatment B,2.5868789921660804
4,Treatment B,2.8173670482048574
4,Treatment B,2.8171916394303
4,Treatment B,2.89824780927383
5,Treatment B,3.067922615830988
5,Treatment B,2.9984152438254443
5,Treatment B,3.155836418704606
5,Treatment B,2.658757946486944
5,Treatment B,3.185899509642712
5,Treatment B,3.174506151424901
5,Treatment B,3.050489652263488
5,Treatment B,2.553897103280069
5,Treatment B,3.227561585527854
5,Treatment B,2.905996358789421
5,Treatment B,2.883506294913972
5,Treatment B,3.0015954096626603
6,Treatment B,3.0524981335706656
6,Treatment B,3.547453218516214
6,Treatment B,3.413469637282798
6,Treatment B,3.03565663999693
6,Treatment B,3.1053164063938805
6,Treatment B,3.3515629592147027
6,Treatment B,3.299684758917127
6,Treatment B,3.1922425602274664
6,Treatment B,3.0142158741290754
6,Treatment B,3.4986353768049714
6,Treatment B,3.56521020986388
6,Treatment B,2.687205546939146
7,Treatment B,3.660224993332186
7,Treatment B,3.355258367839601
7,Treatment B,3.315429479985256
7,Treatment B,3.825172815393511
7,Treatment B,3.5517065961431133
7,Treatment B,3.978317332279965
7,Treatment B,3.23665334624789
7,Treatment B,3.003921574867123
7,Treatment B,3.1159501945728456
7,Treatment B,3.610166125607
7,Treatment B,3.501487272700686
7,Treatment B,3.4481201728766675
